company,client,method,from,to,sample_size,con,lab,ld,ukip,snp,grn,other,pdf
ICM Online,Guardian,Online,2017-05-12,2017-05-14,139.0,0.26,0.16,0.07,0.01,0.49,0.02,0.0,https://www.icmunlimited.com/wp-content/uploads/2017/05/2017_guardian_campaign_poll6.pdf
Kantar TNS,,Online,2017-05-11,2017-05-15,72.0,0.25,0.13,0.03,0.03,0.54,0.04,0.0,http://www.tns-bmrb.co.uk/sites/tns-bmrb/files/KPUK%20-%20Polling%20tables%20-%2016.5.2017_0.pdf
Panelbase,,Online,2017-05-12,2017-05-15,67.0,0.2,0.13,0.06,0.02,0.56,0.02,0.01,http://www.panelbase.com/media/polls/W10470w4tablesforpublication150517.pdf
Opinium,Observer,Online,2017-05-16,2017-05-17,119.0,0.29,0.17,0.05,0.02,0.47,0.0,0.0,http://opinium.co.uk/wp-content/uploads/2017/05/VI-16-05-2017-Tables.xls
Ipsos MORI Phone,Evening Standard,Phone,2017-05-15,2017-05-17,73.0,0.46,0.1,0.03,0.0,0.39,0.0,0.0,https://www.ipsos.com/sites/default/files/2017-05/pm-may-2017-tables.pdf
YouGov,Times,Online,2017-05-16,2017-05-17,171.0,0.28,0.22,0.06,0.01,0.43,0.01,0.0,http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/txtodyx8bk/TimesResults_170517_VI_Trackers_W.pdf
YouGov,Times,Online,2017-05-15,2017-05-18,1032.0,0.29,0.19,0.06,0.01,0.42,0.02,0.01,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/rnz6ummmks/TimesResults_170518_Scotland_WestminsterVI_W.pdf
ORB Online,Telegraph,Online,2017-05-17,2017-05-18,134.0,0.24,0.22,0.04,0.0,0.47,,0.03,http://www.orb-international.com/perch/resources/voting-intention-19-05-2017-1.pdf
YouGov,Times,Online,2017-05-18,2017-05-19,177.0,0.28,0.22,0.05,0.0,0.44,0.01,0.0,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/wvyc3lofp5/SundayTimesResults_170519_VI_W.pdf
Survation,Good Morning Britain,Phone,2017-05-19,2017-05-20,80.0,0.271,0.257,0.094,0.0,0.37799999999999995,0.0,0.0,http://survation.com/wp-content/uploads/2017/05/Final-GMB-GE2017-III-Tables-190517TOCH-1c0d3h4.pdf
Survation,Mail on Sunday,Online,2017-05-19,2017-05-20,65.0,0.264,0.215,0.11,0.0,0.41,0.0,0.0,http://survation.com/wp-content/uploads/2017/05/Final-MoS-Poll-190517GOCH-1c0d1h7.pdf
Kantar TNS,,Online,2017-05-18,2017-05-21,78.0,0.14,0.2,0.03,0.0,0.64,0.0,0.0,http://www.tns-bmrb.co.uk/sites/tns-bmrb/files/KPUK%20Polling%20tables%20-%2023.5.2017.pdf
ICM Online,Guardian,Online,2017-05-19,2017-05-21,130.0,0.22,0.2,0.08,0.0,0.46,0.02,0.01,https://www.icmunlimited.com/wp-content/uploads/2017/05/2017_guardian_poll_campaign7_may17.pdf
Panelbase,Sunday Times,Online,2017-05-19,2017-05-23,88.0,0.26,0.18,0.07,0.0,0.47,0.01,0.0,http://www.panelbase.com/media/polls/W10470w5SundayTimestablesforpublication230517.pdf
Opinium,Observer,Online,2017-05-23,2017-05-24,122.0,0.22,0.26,0.03,0.0,0.46,0.03,0.01,http://opinium.co.uk/wp-content/uploads/2017/05/VI-23-05-2017-Full-Tables.xls
ORB Online,Telegraph,Online,2017-05-24,2017-05-25,150.0,0.34,0.19,0.06,0.01,0.38,,0.02,https://www.orb-international.com/perch/resources/orb-telegraph-26th-may.pdf
SurveyMonkey,Sun,Online,2017-05-19,2017-05-25,1970.0,0.29,0.25,0.04,0.01,0.39,,0.02,https://www.thescottishsun.co.uk/news/1069407/poll-snp-mp-at-risk-three-year-low-general-election/
YouGov,Times,Online,2017-05-24,2017-05-25,189.0,0.3,0.22,0.06,0.0,0.41,0.02,0.0,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/dcfgflapq2/TimesResults_170525_VI_Trackers_Terrorism_W.pdf
ComRes Online,Independent On Sunday / Sunday Mirror,Online,2017-05-24,2017-05-26,162.0,0.35,0.17,0.05,0.01,0.4,0.02,0.0,http://www.comresglobal.com/wp-content/uploads/2017/05/Independent-Sunday-Mirror-VI-26th-May-2017_694814867.pdf
YouGov,Times,Online,2017-05-25,2017-05-26,184.0,0.3,0.25,0.04,0.0,0.4,0.01,0.0,http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/fpwbs2u7v8/SundayTimesResults_170526_VI_W.pdf
ICM Online,Sun,Online,2017-05-24,2017-05-26,140.0,0.26,0.21,0.04,0.0,0.47,0.01,0.0,https://www.icmunlimited.com/wp-content/uploads/2017/05/2016_sunonsunday_campaignpoll3_publish.pdf
Ipsos MORI,STV,Online,2017-05-22,2017-05-27,1016.0,0.25,0.25,0.05,0.01,0.43,0.01,0.0,https://www.ipsos.com/sites/default/files/2017-05/scotland-pom-may-2017-tables.pdf
Survation,Good Morning Britain,Phone,2017-05-26,2017-05-27,56.0,0.381,0.196,0.121,0.016,0.28600000000000003,0.0,0.0,http://survation.com/wp-content/uploads/2017/05/Final-GMB-GE2017-IV-Tables-260517TOCH-1c0d0h9.pdf
ICM Online,Guardian,Online,2017-05-26,2017-05-29,150.0,0.26,0.22,0.08,0.0,0.43,0.01,0.0,https://www.icmunlimited.com/wp-content/uploads/2017/05/2017_guardian_poll8_may26-29.pdf
Kantar Public,,Online,2017-05-25,2017-05-30,90.0,0.15,0.2,0.08,0.0,0.41,0.04,0.0,http://www.tns-bmrb.co.uk/sites/tns-bmrb/files/KPUK%20-%20final%20tables%20-%2031.5.2017.pdf
YouGov,Times,Online,2017-05-30,2017-05-31,172.0,0.28,0.2,0.04,0.04,0.42,0.01,0.01,http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/imdk9bjaff/TimesResults_170531_VI_Trackers_W.pdf
